LOGFZI,FZI,CGR,DRHO,DT5,GR,HNPO,LLD,LLHR,LLS,MRES,MSFC,NPHI,NPOR,POTA,RHOB,SP,THOR,URAN
2.324533315,211.1219143,31.99257598,0.034070735,86.07345374,47.12847402,0.184823885,1.484895538,1.989064567,1.370870604,0.067982743,1.299775066,0.179966404,0.179165945,1.292814961,2.376139304,4.092642717,2.646898097,2.012320669
2.460042621,288.4314552,31.97604055,0.025724278,86.34061909,48.28500945,0.183564042,1.479856168,1.984340157,1.344728871,0.067904003,1.278672703,0.184375853,0.181291929,1.281476378,2.365824344,3.945004921,2.688866601,1.995076575
2.438688611,274.592462,36.23624228,0.009849639,87.02090538,50.67071569,0.1819,1.49138956,1.827784898,1.336755154,0.067820749,1.246173079,0.187420749,0.179666316,1.476264741,2.335299278,4.080146093,2.949176888,1.992421339
2.697101104,497.8529722,42.12259199,0.003630512,87.95160997,53.894521,0.173462205,1.559631562,1.893686024,1.371531037,0.0679,1.095846457,0.185624934,0.182018176,1.74346542,2.322450853,4.771489501,3.316662795,1.904020669
2.265887693,184.4538367,42.36127853,0.014313395,88.44253736,54.47765653,0.188332699,1.590262837,2.136641103,1.372559094,0.0679,1.328146947,0.184467761,0.185889166,1.781503743,2.329118582,4.248235391,3.220796192,1.711496192
2.320879651,209.3532231,42.13388523,0.023788116,88.73087617,50.02308661,0.192344517,1.583092777,1.91718608,1.353182863,0.0679,1.520031385,0.186516349,0.191608142,1.793709915,2.332703611,4.194886737,3.114867104,1.605567104
2.468216987,293.911776,41.72519265,0.025669554,88.4675126,48.32565302,0.196561417,1.545079003,1.832651706,1.318889764,0.0679,1.432404462,0.188671391,0.196549606,1.787588976,2.334990026,4.263779528,3.038688189,1.542121785
2.373220174,236.1675226,40.53171005,0.027010571,87.39848871,41.05925804,0.198155811,1.378859422,1.692601641,1.179705844,0.0679,1.199610834,0.199058569,0.199536573,1.742161917,2.34381195,4.375,2.928492055,1.358419041
2.322543082,210.1566234,39.82612903,0.027850786,86.32285505,38.7069135,0.204841022,1.311900459,1.664798755,1.120521756,0.0679,1.122931848,0.198231062,0.20250367,1.708838008,2.355160747,4.322862058,2.889696461,1.222077851
2.565837308,367.9910937,34.21044777,0.017208924,84.12884488,38.0918315,0.199303675,1.31187664,1.581139108,1.117127297,0.0679,1.210370079,0.195480577,0.2017979,1.441830971,2.346422835,4.294127297,2.588279003,1.034818635
2.819639664,660.1454949,29.88260985,0.013020552,82.5913652,38.88493756,0.186465923,1.370812541,1.593102101,1.162194025,0.0679,1.116114905,0.175613789,0.184548588,1.223818647,2.354375772,4.072595207,2.40599107,0.831299869
2.727726758,534.2281376,27.75915039,0.015477916,81.85398211,37.15452982,0.163065531,1.44203152,1.704877392,1.213608781,0.0679,1.167732765,0.159458781,0.160959043,1.11327156,2.361753932,4.131594037,2.330992595,0.715065858
2.777912782,599.6706343,27.18798394,0.022660092,81.6620555,36.00774083,0.141990826,1.486854587,1.806948165,1.244224771,0.0679,1.277195413,0.150074771,0.144130734,1.080977982,2.37008945,4.360951835,2.321294037,0.66468578
2.855746328,717.3751497,25.8264434,0.017900525,82.07171359,35.13058116,0.122808798,1.383782009,1.678141628,1.167480171,0.067958831,1.359948457,0.141758569,0.132486211,1.010636704,2.343607814,4.238960932,2.271285161,0.57522042
2.978085847,950.7927183,25.11850092,0.013820683,82.46327183,34.90523303,0.146312147,1.312331976,1.422502758,1.113720223,0.067939659,1.290792318,0.143858634,0.148812147,0.974572357,2.326044583,4.262926789,2.243013592,0.541964478
2.989539152,976.2007841,25.6314752,0.015186811,82.47332448,34.4147086,0.149568045,1.235433268,1.377998819,1.050324803,0.067961877,1.204477625,0.147721719,0.152601772,0.991809908,2.324673622,4.139845801,2.299632546,0.525749278
2.984956185,965.9534206,25.96030131,0.024827249,82.15234064,33.06934248,0.169388838,1.120791596,1.350491858,0.963709915,0.0679,0.995687722,0.153281156,0.169257518,0.993192121,2.339880171,4.381360801,2.375119567,0.48743979
2.959865299,911.7280125,25.94101969,0.011706299,81.89152493,30.38535066,0.149655643,1.125444094,1.350032808,0.969270866,0.0679,1.033579003,0.161979528,0.162375853,0.988261942,2.329371391,4.688156168,2.390600262,0.431529659
2.934997528,860.9888519,26.47198425,0.012414961,81.56808005,29.79479948,0.155915486,1.152904724,1.342473753,0.999743307,0.0679,1.031216798,0.159676378,0.159659318,1.017730446,2.337402887,4.761975066,2.40187979,0.423616273
2.976701745,947.7673539,25.88506146,0.020330072,81.36789186,28.72434865,0.156517269,1.205555286,1.363660604,1.049932633,0.067835391,1.017841103,0.156290939,0.160448982,0.999909718,2.364996389,4.650976691,2.329419829,0.448630991
3.126542217,1338.2653,23.68645629,0.036176081,81.73134633,28.88300478,0.158042398,1.242003473,1.436214482,1.086488467,0.06789574,1.039164744,0.144481324,0.141794495,0.920315334,2.400556422,4.921526868,2.109911927,0.526478178
3.116482697,1307.623439,20.4776357,0.020101837,82.25874121,28.28165538,0.144308399,1.230439633,1.471783727,1.097714173,0.067727034,1.221197638,0.137108399,0.134290026,0.777310236,2.375616798,4.084481627,1.898442782,0.597432283
3.05247568,1128.432746,18.17989206,0.010733552,82.46814012,28.58444077,0.147358306,1.140649705,1.340630466,1.038801116,0.067683388,1.15473283,0.150128628,0.145290545,0.672641628,2.346395141,4.276058766,1.756541891,0.798652331
3.121142601,1321.729554,16.88680026,0.017882307,81.9278462,28.95261245,0.157092988,1.091549803,1.301344954,1.010793054,0.067656684,1.060429685,0.16126789,0.159073722,0.595938663,2.352720249,4.391710354,1.749332962,1.03523329
3.027534036,1065.45236,16.61243904,0.024658005,81.54100059,29.03705755,0.165293504,1.082891207,1.294473228,1.010939108,0.067690879,1.029500394,0.164436811,0.16916647,0.56815584,2.364226772,4.477198163,1.794734055,1.170701444
